Address,Bid,Creat Mondrian NFT,Total,power,bounty
0x5184dd457ef4660a6491b8a19519056b3385b297,10,80,90,9.487 ,948
0x25154d171902122e9bbc3f84b0f166a5d09f66ad,,74,74,8.602 ,860
0x8d4b7db5dbdc97ac41bd6e3616e2d7896e9086d0,13,46,59,7.681 ,768
0x0dd81ec85cfbde22cacd0642bbef35ada7794303,1,46,47,6.856 ,685
0x022102f9c3a871c4e08746a0f16f33ca9715b86f,7,24,31,5.568 ,556
0xad0e33ea6a5b095929a0b326be1624720b25bc41,,25,25,5.000 ,500
0x9c55b8278e63583c25bb39393e471be02fd680a6,7,15,22,4.690 ,469
0xd30c93ce6fe0d61a016362463f672f4ed49ecbd1,1,20,21,4.583 ,458
0x5206013121f0bfc599c0d6ff577cb07a617ee9b4,,20,20,4.472 ,447
0x7cd1286d59b8bd2665817232c812fa6dccc0351b,6,11,17,4.123 ,412
0x8ea35fb0555ba67ffa03beb6a24b8b22d1f623e7,,14,14,3.742 ,374
0x98d6e05ac0fee4818c81e9f11a7b5149ef1b270a,1,12,13,3.606 ,360
0x226f0484595ab4c4fd8bd66579f4f53e22797ba0,,13,13,3.606 ,360
0xf7fcddff16fe26166fd96f90de87e47e6c6c4c7e,1,12,13,3.606 ,360
0x793418b1b992f4225b55036dba0f66c42168b543,1,11,12,3.464 ,346
0xb4e46877381928b943bf4facf3ea177d0b7c3229,4,7,11,3.317 ,331
0xd3345a90d656a42962d48118cede80c64653219f,4,7,11,3.317 ,331
0xb294f2eb86e7e4246ad28371bee0cbdab75638e4,4,6,10,3.162 ,316
0x839b93b3443ccddbfbc3ecc1385784daba9e115c,1,9,10,3.162 ,316
0x1cee519ba6976ae5429985a1cfaf8b1e85365280,4,6,10,3.162 ,316
0xe44e871c8328aca6ae03921471de177def1fc116,2,7,9,3.000 ,300
0x0af38a4deae745741a85c36405846942936df583,4,4,8,2.828 ,282
0x3df10334531a3c86590245e12be0104dd3459159,,8,8,2.828 ,282
0x3bb2b2f60f6002451e561ae7a3afa828008fd373,4,2,6,2.449 ,244
0x349fb1e6cd729df73e2a6e739e556ae720e2ad54,3,3,6,2.449 ,244
0xec04fa00a02e1c3e76171a3adf55b6102f89ef20,,6,6,2.449 ,244
0x8590da08402a32cd04da1b7de558da7f54ac1887,,6,6,2.449 ,244
0x828cadb448bd62ed845c140eacadc46c5f27e8b6,1,5,6,2.449 ,244
0x531f41a437cd4ca78d19916b74f7faf98988c63e,2,4,6,2.449 ,244
0xf7ddbd7f73b77451d6d9d34424564eb16d6684b4,6,,6,2.449 ,244
0x281e8d319088a7bcf99c3f98e6c145e9be62cf66,4,2,6,2.449 ,244
0x72ff8b7c2dce8c4e48932d23a80dd03241f77901,,5,5,2.236 ,223
0x45a5f6c9372ef4644f5c45dab0b1a7619f4cf981,1,4,5,2.236 ,223
0xdba843151831cc30e42e5561ec8aa05eaf60cd90,2,3,5,2.236 ,223
0xc98c34f8660050b0d56463acf7350af1765a157c,,5,5,2.236 ,223
0xc367c455bd9f2ce6ef90f7b4e0608cea5283460e,5,,5,2.236 ,223
0xd1e175aa9675dcd254b392a14234f6e49f3c5172,1,4,5,2.236 ,223
0xb034411afdea6990cb4c4dac75832a3f4829d261,,5,5,2.236 ,223
0x9594e5fbe7374168d40248521e3f19ba042676e3,2,3,5,2.236 ,223
0x36bb74d4067cd69061be037ec7ecbe3a5aff35c5,,4,4,2.000 ,200
0xb8d4467428fc490657142d2a798afebb12f062e4,2,2,4,2.000 ,200
